%OpenBCI Raw EXG Data
%Number of channels = 4
%Sample Rate = 200 Hz
%Board = OpenBCI_GUI$BoardGanglionBLE
Sample Index, EXG Channel 0, EXG Channel 1, EXG Channel 2, EXG Channel 3, Accel Channel 0, Accel Channel 1, Accel Channel 2, Other, Other, Other, Other, Other, Timestamp, Other, Timestamp (Formatted)
0.0, -567.9711264707148, -633.4305953951553, -93.31798369437456, -388.0407997025177, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.7151027188279276E9, 0.0, 2024-05-07 12:25:18.827
1.0, -558.5091795828193, -624.5034542009234, -87.75675246026367, -381.57077277917415, 0.0, 0.9920000471174717, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.7151027188414347E9, 0.0, 2024-05-07 12:25:18.841
1.0, -548.9275558963418, -627.2934195678681, -93.12350889667869, -396.13020330667496, 0.0, 0.9920000471174717, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.7151027188414347E9, 0.0, 2024-05-07 12:25:18.841
2.0, -568.6667478624731, -640.6598220095038, -105.10988825466484, -401.95696743763983, 0.12800000607967377, 0.9920000471174717, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.7151027188581548E9, 0.0, 2024-05-07 12:25:18.858
2.0, -552.6450164522976, -624.7278481982648, -91.72104641329497, -382.9507958628237, 0.12800000607967377, 0.9920000471174717, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.7151027188581548E9, 0.0, 2024-05-07 12:25:18.858
3.0, -557.0356590002775, -625.8049393855035, -94.20433998387307, -384.8207458406687, 0.12800000607967377, 0.9920000471174717, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.7151027188589106E9, 0.0, 2024-05-07 12:25:18.858
3.0, -569.1791141564026, -632.854650801979, -102.454559286125, -391.4927273616195, 0.12800000607967377, 0.9920000471174717, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.7151027188589106E9, 0.0, 2024-05-07 12:25:18.858
4.0, -557.862176890485, -632.9593680007383, -87.43886096403003, -378.98276200983673, 0.12800000607967377, 0.9920000471174717, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.7151027188715053E9, 0.0, 2024-05-07 12:25:18.871
4.0, -554.3541507320479, -617.3303260859102, -85.23979979008436, -368.4699032343924, 0.12800000607967377, 0.9920000471174717, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.7151027188715053E9, 0.0, 2024-05-07 12:25:18.871
5.0, -566.3442699899897, -633.0042468002066, -87.43138116411865, -380.4488027924672, 0.12800000607967377, 0.9920000471174717, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.7151027188870213E9, 0.0, 2024-05-07 12:25:18.887
5.0, -550.0607455829158, -633.0341659998521, -86.83673707116395, -369.89480511751026, 0.12800000607967377, 0.9920000471174717, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.7151027188870213E9, 0.0, 2024-05-07 12:25:18.887
6.0, -549.2230079928413, -627.5103337652981, -77.9993534758687, -365.7360363667831, 0.12800000607967377, 0.9920000471174717, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.7151027188877604E9, 0.0, 2024-05-07 12:25:18.887
6.0, -552.132650158368, -620.4269632492214, -73.87050392478704, -371.60767929721624, 0.12800000607967377, 0.9920000471174717, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.7151027188877604E9, 0.0, 2024-05-07 12:25:18.887
7.0, -573.2443854082376, -630.9996604239568, -86.71706027258188, -384.0241471501067, 0.12800000607967377, 0.9920000471174717, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.7151027189012074E9, 0.0, 2024-05-07 12:25:18.901
7.0, -551.638983364217, -617.6519574820995, -67.27332040295005, -368.5147820338607, 0.12800000607967377, 0.9920000471174717, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.7151027189012074E9, 0.0, 2024-05-07 12:25:18.901
