%OpenBCI Raw EXG Data
%Number of channels = 4
%Sample Rate = 200 Hz
%Board = OpenBCI_GUI$BoardGanglionBLE
Sample Index, EXG Channel 0, EXG Channel 1, EXG Channel 2, EXG Channel 3, Accel Channel 0, Accel Channel 1, Accel Channel 2, Other, Other, Other, Other, Other, Timestamp, Other, Timestamp (Formatted)
0.0, -604.6053164866753, -489.62396229896694, 142.88848765706643, -284.90183872450143, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.715102336936198E9, 0.0, 2024-05-07 12:18:56.936
1.0, -604.186447691638, -491.4976521767676, 133.47141956863925, -290.07786026317626, 0.0, 1.008000047877431, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.7151023369495473E9, 0.0, 2024-05-07 12:18:56.949
1.0, -623.4618920632638, -505.18194611463696, 117.73018065514043, -307.9321426516399, 0.0, 1.008000047877431, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.7151023369495473E9, 0.0, 2024-05-07 12:18:56.949
2.0, -608.5097720404156, -491.69960677437484, 130.17656770767644, -282.470903753303, 0.03200000151991844, 1.008000047877431, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.715102336966301E9, 0.0, 2024-05-07 12:18:56.966
2.0, -602.8774827071466, -482.88092267885804, 145.981384920422, -279.4640241889283, 0.03200000151991844, 1.008000047877431, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.715102336966301E9, 0.0, 2024-05-07 12:18:56.966
3.0, -621.8574749822728, -508.60021467413753, 123.60556348552927, -300.27656744234264, 0.03200000151991844, 1.008000047877431, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.7151023369669108E9, 0.0, 2024-05-07 12:18:56.966
3.0, -614.3814149708487, -505.2679638136178, 131.38829529331997, -296.364632088691, 0.03200000151991844, 1.008000047877431, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.7151023369669108E9, 0.0, 2024-05-07 12:18:56.966
4.0, -606.7632387611084, -494.88600153662264, 149.07428218377754, -283.5853939400986, 0.03200000151991844, 1.008000047877431, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.7151023369795241E9, 0.0, 2024-05-07 12:18:56.979
4.0, -604.4295411887579, -502.1189680509269, 138.6399613074027, -291.8356132423505, 0.03200000151991844, 1.008000047877431, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.7151023369795241E9, 0.0, 2024-05-07 12:18:56.979
5.0, -615.3163899597712, -498.3154897959903, 130.72259310120717, -298.0588067686185, 0.03200000151991844, 1.008000047877431, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.7151023369951527E9, 0.0, 2024-05-07 12:18:56.995
