%OpenBCI Raw EXG Data
%Number of channels = 4
%Sample Rate = 200 Hz
%Board = OpenBCI_GUI$BoardGanglionBLE
Sample Index, EXG Channel 0, EXG Channel 1, EXG Channel 2, EXG Channel 3, Accel Channel 0, Accel Channel 1, Accel Channel 2, Other, Other, Other, Other, Other, Timestamp, Other, Timestamp (Formatted)
9.0, -668.2920728321187, -650.2451855959371, -68.78237003507093, -329.8666558917612, 0.09600000455975533, 0.9280000440776348, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.7151028157444608E9, 0.0, 2024-05-07 12:26:55.744
10.0, -682.9150816588663, -660.7468246715143, -76.3893265449442, -344.5756824174896, 0.09600000455975533, 0.9280000440776348, 0.288000013679266, 0.0, 0.0, 0.0, 0.0, 0.0, 1.7151028157583137E9, 0.0, 2024-05-07 12:26:55.758
10.0, -670.5360128055327, -652.9865322634578, -70.03149662027135, -342.7917501386255, 0.09600000455975533, 0.9280000440776348, 0.288000013679266, 0.0, 0.0, 0.0, 0.0, 0.0, 1.7151028157583137E9, 0.0, 2024-05-07 12:26:55.758
11.0, -668.7221613270231, -649.1157358093187, -58.03015766246244, -334.9379602316767, 0.09600000455975533, 0.9920000471174717, 0.288000013679266, 0.0, 0.0, 0.0, 0.0, 0.0, 1.7151028157736485E9, 0.0, 2024-05-07 12:26:55.773
11.0, -673.4568746709265, -657.0331040155143, -64.28327038837597, -343.26297753304243, 0.09600000455975533, 0.9920000471174717, 0.288000013679266, 0.0, 0.0, 0.0, 0.0, 0.0, 1.7151028157736485E9, 0.0, 2024-05-07 12:26:55.773
12.0, -673.3222382725216, -651.729925878346, -58.59862245572731, -344.59064201731235, 0.0800000037997961, 0.9920000471174717, 0.288000013679266, 0.0, 0.0, 0.0, 0.0, 0.0, 1.7151028157887068E9, 0.0, 2024-05-07 12:26:55.788
12.0, -669.2906261202879, -637.6753818448633, -55.71889948984608, -336.33294291514903, 0.0800000037997961, 0.9920000471174717, 0.288000013679266, 0.0, 0.0, 0.0, 0.0, 0.0, 1.7151028157887068E9, 0.0, 2024-05-07 12:26:55.788
13.0, -675.1286099511199, -641.0861706044525, -40.00757977599278, -333.269964851439, 0.0800000037997961, 0.9920000471174717, 0.288000013679266, 0.0, 0.0, 0.0, 0.0, 0.0, 1.715102815789464E9, 0.0, 2024-05-07 12:26:55.789
13.0, -671.1082174987532, -652.5564437685534, -48.81130427168682, -330.7530121812597, 0.0800000037997961, 0.9920000471174717, 0.288000013679266, 0.0, 0.0, 0.0, 0.0, 0.0, 1.715102815789464E9, 0.0, 2024-05-07 12:26:55.789
14.0, -679.4631539997645, -642.5746507868171, -46.672081497032195, -338.5020848894492, 0.0800000037997961, 0.9920000471174717, 0.288000013679266, 0.0, 0.0, 0.0, 0.0, 0.0, 1.7151028158038228E9, 0.0, 2024-05-07 12:26:55.803
14.0, -677.189294826705, -634.2683329852298, -39.027725987602025, -319.641769412905, 0.0800000037997961, 0.9920000471174717, 0.288000013679266, 0.0, 0.0, 0.0, 0.0, 0.0, 1.7151028158038228E9, 0.0, 2024-05-07 12:26:55.803
15.0, -689.6207222794183, -651.8870016764849, -63.4193534986116, -340.07284287083894, 0.0800000037997961, 0.9920000471174717, 0.288000013679266, 0.0, 0.0, 0.0, 0.0, 0.0, 1.715102815804454E9, 0.0, 2024-05-07 12:26:55.804
15.0, -676.0261859404854, -647.9601067230105, -54.1930203079246, -316.45911455061287, 0.0800000037997961, 0.9920000471174717, 0.288000013679266, 0.0, 0.0, 0.0, 0.0, 0.0, 1.715102815804454E9, 0.0, 2024-05-07 12:26:55.804
16.0, -675.6970747443847, -633.6437696926296, -43.34357053646818, -309.46176173351705, 0.0800000037997961, 0.9920000471174717, 0.288000013679266, 0.0, 0.0, 0.0, 0.0, 0.0, 1.7151028158180313E9, 0.0, 2024-05-07 12:26:55.818
16.0, -685.1440620324574, -656.0420305272564, -63.76342429453507, -311.5523658087477, 0.0800000037997961, 0.9920000471174717, 0.288000013679266, 0.0, 0.0, 0.0, 0.0, 0.0, 1.7151028158180313E9, 0.0, 2024-05-07 12:26:55.818
17.0, -678.8311109072529, -639.1115034278482, -61.152974125463516, -307.20660206023604, 0.0800000037997961, 0.9920000471174717, 0.288000013679266, 0.0, 0.0, 0.0, 0.0, 0.0, 1.7151028158338008E9, 0.0, 2024-05-07 12:26:55.833
17.0, -663.5760589879937, -643.9546738704666, -47.835190383251756, -311.6009845081717, 0.0800000037997961, 0.9920000471174717, 0.288000013679266, 0.0, 0.0, 0.0, 0.0, 0.0, 1.7151028158338008E9, 0.0, 2024-05-07 12:26:55.833
18.0, -652.9697027136572, -649.4111879058182, -55.05693719768897, -312.94360859226435, 0.0800000037997961, 0.9920000471174717, 0.288000013679266, 0.0, 0.0, 0.0, 0.0, 0.0, 1.7151028158344333E9, 0.0, 2024-05-07 12:26:55.834
18.0, -659.9558358308859, -653.1548277614638, -57.07274327380583, -314.02443967945874, 0.0800000037997961, 0.9920000471174717, 0.288000013679266, 0.0, 0.0, 0.0, 0.0, 0.0, 1.7151028158344333E9, 0.0, 2024-05-07 12:26:55.834
19.0, -654.6788369934075, -645.3720959536731, -54.286517806816846, -316.1487028542906, 0.0800000037997961, 0.9920000471174717, 0.288000013679266, 0.0, 0.0, 0.0, 0.0, 0.0, 1.7151028158482332E9, 0.0, 2024-05-07 12:26:55.848
19.0, -648.1676711705513, -639.0741044282913, -44.87692951830104, -303.709795601666, 0.0800000037997961, 0.9920000471174717, 0.288000013679266, 0.0, 0.0, 0.0, 0.0, 0.0, 1.7151028158482332E9, 0.0, 2024-05-07 12:26:55.848
20.0, -660.4046238255687, -652.4666861696169, -62.734951806720346, -323.886555862613, 0.0800000037997961, 0.9920000471174717, 0.288000013679266, 0.0, 0.0, 0.0, 0.0, 0.0, 1.7151028158637347E9, 0.0, 2024-05-07 12:26:55.863
20.0, -664.6494102752768, -647.0812302334234, -66.70672555966303, -334.4106343379244, 0.0800000037997961, 0.9920000471174717, 0.288000013679266, 0.0, 0.0, 0.0, 0.0, 0.0, 1.7151028158637347E9, 0.0, 2024-05-07 12:26:55.863
21.0, -650.7220228402875, -632.0842314111069, -47.947387381922454, -321.28732539340854, 0.0800000037997961, 0.9760000463575125, 0.288000013679266, 0.0, 0.0, 0.0, 0.0, 0.0, 1.7151028158645127E9, 0.0, 2024-05-07 12:26:55.864
21.0, -666.8148123496212, -650.3947815941647, -61.30257012369111, -333.7898109452799, 0.0800000037997961, 0.9760000463575125, 0.288000013679266, 0.0, 0.0, 0.0, 0.0, 0.0, 1.7151028158645127E9, 0.0, 2024-05-07 12:26:55.864
22.0, -651.8963514263742, -640.2259936146438, -53.20194681966677, -325.09828344825655, 0.0800000037997961, 0.9760000463575125, 0.288000013679266, 0.0, 0.0, 0.0, 0.0, 0.0, 1.7151028158780985E9, 0.0, 2024-05-07 12:26:55.878
22.0, -649.2522421577014, -642.9299412826076, -54.45855320477858, -331.2653784751892, 0.0800000037997961, 0.9760000463575125, 0.288000013679266, 0.0, 0.0, 0.0, 0.0, 0.0, 1.7151028158780985E9, 0.0, 2024-05-07 12:26:55.878
23.0, -655.142584587913, -645.7797450488433, -60.54337043268606, -333.4831391489133, 0.0800000037997961, 0.9760000463575125, 0.288000013679266, 0.0, 0.0, 0.0, 0.0, 0.0, 1.7151028158937223E9, 0.0, 2024-05-07 12:26:55.893
23.0, -650.4677096433006, -651.7374056782573, -56.14898798475042, -331.4860325725749, 0.0800000037997961, 0.9760000463575125, 0.288000013679266, 0.0, 0.0, 0.0, 0.0, 0.0, 1.7151028158937223E9, 0.0, 2024-05-07 12:26:55.893
24.0, -652.3750586207025, -651.6289485795423, -68.51683713821694, -348.52127687074244, 0.0800000037997961, 0.9760000463575125, 0.288000013679266, 0.0, 0.0, 0.0, 0.0, 0.0, 1.715102815894484E9, 0.0, 2024-05-07 12:26:55.894
24.0, -645.9573902967386, -648.3153972188011, -57.07648317376152, -341.1985527575016, 0.0800000037997961, 0.9760000463575125, 0.288000013679266, 0.0, 0.0, 0.0, 0.0, 0.0, 1.715102815894484E9, 0.0, 2024-05-07 12:26:55.894
25.0, -672.8323113783263, -665.4478789158165, -78.45749122044072, -350.5670021465048, 0.0800000037997961, 0.9760000463575125, 0.288000013679266, 0.0, 0.0, 0.0, 0.0, 0.0, 1.7151028159080048E9, 0.0, 2024-05-07 12:26:55.908
25.0, -665.4871478653513, -652.3881482705474, -67.83617534628138, -350.7165981447324, 0.0800000037997961, 0.9760000463575125, 0.288000013679266, 0.0, 0.0, 0.0, 0.0, 0.0, 1.7151028159080048E9, 0.0, 2024-05-07 12:26:55.908
26.0, -652.3488793210126, -649.2728116074577, -59.541077244561166, -343.5359902298078, 0.0800000037997961, 0.9760000463575125, 0.288000013679266, 0.0, 0.0, 0.0, 0.0, 0.0, 1.7151028159239323E9, 0.0, 2024-05-07 12:26:55.923
26.0, -673.9056626656093, -657.8895411053672, -79.9459714028053, -356.8425542721525, 0.0800000037997961, 0.9760000463575125, 0.288000013679266, 0.0, 0.0, 0.0, 0.0, 0.0, 1.7151028159239323E9, 0.0, 2024-05-07 12:26:55.923
27.0, -664.9860012712888, -648.087263321504, -70.51020381459966, -357.85232726018876, 0.0800000037997961, 0.9760000463575125, 0.288000013679266, 0.0, 0.0, 0.0, 0.0, 0.0, 1.7151028159244645E9, 0.0, 2024-05-07 12:26:55.924
27.0, -658.3401990500279, -653.5549970567226, -62.22258551279083, -356.7602764731273, 0.0800000037997961, 0.9760000463575125, 0.288000013679266, 0.0, 0.0, 0.0, 0.0, 0.0, 1.7151028159244645E9, 0.0, 2024-05-07 12:26:55.924
28.0, -661.1862629163079, -650.3349431948736, -56.343462782446295, -358.9181987475604, 0.0800000037997961, 0.9760000463575125, 0.288000013679266, 0.0, 0.0, 0.0, 0.0, 0.0, 1.7151028159383285E9, 0.0, 2024-05-07 12:26:55.938
28.0, -657.711895857472, -657.4669324103743, -61.590542420279235, -360.55253502819687, 0.0800000037997961, 0.9760000463575125, 0.288000013679266, 0.0, 0.0, 0.0, 0.0, 0.0, 1.7151028159383285E9, 0.0, 2024-05-07 12:26:55.938
29.0, -659.7277019335888, -639.7547662202269, -64.39920728700235, -357.77752926107496, 0.0800000037997961, 0.9760000463575125, 0.288000013679266, 0.0, 0.0, 0.0, 0.0, 0.0, 1.7151028159538877E9, 0.0, 2024-05-07 12:26:55.953
29.0, -647.5131886783056, -635.7044545682147, -65.6071949726902, -350.9484719419852, 0.0800000037997961, 0.9760000463575125, 0.288000013679266, 0.0, 0.0, 0.0, 0.0, 0.0, 1.7151028159538877E9, 0.0, 2024-05-07 12:26:55.953
30.0, -664.2866399795748, -650.9707261873409, -84.41515184985474, -356.37880667764693, 0.0800000037997961, 0.9760000463575125, 0.3200000151991844, 0.0, 0.0, 0.0, 0.0, 0.0, 1.7151028159547129E9, 0.0, 2024-05-07 12:26:55.954
30.0, -649.4541967553087, -644.3735426655039, -73.93595217401162, -364.6103264801204, 0.0800000037997961, 0.9760000463575125, 0.3200000151991844, 0.0, 0.0, 0.0, 0.0, 0.0, 1.7151028159547129E9, 0.0, 2024-05-07 12:26:55.954
31.0, -658.4785753483884, -637.2490332499146, -60.09084253804758, -339.88958777301013, 0.0800000037997961, 0.9760000463575125, 0.3200000151991844, 0.0, 0.0, 0.0, 0.0, 0.0, 1.7151028159680598E9, 0.0, 2024-05-07 12:26:55.968
31.0, -653.8410994033329, -648.8763822121546, -70.17361281858757, -343.3938740314916, 0.0800000037997961, 0.9760000463575125, 0.3200000151991844, 0.0, 0.0, 0.0, 0.0, 0.0, 1.7151028159680598E9, 0.0, 2024-05-07 12:26:55.968
32.0, -655.9017842789181, -646.7708185371011, -62.4544593100436, -330.592196483165, 0.0800000037997961, 0.9760000463575125, 0.3200000151991844, 0.0, 0.0, 0.0, 0.0, 0.0, 1.715102815983786E9, 0.0, 2024-05-07 12:26:55.983
